Ensembl Gene ID (Human)	Ensembl Gene ID (Mouse)	Human Gene Symbol	PS score (P-value)	PS score (Z-score)	PG classification	Semantic similarity
ENSG00000174990	ENSMUSG00000025317	CA5A	0.001121545	3.056003	HPG	1.245183
ENSG00000173898	ENSMUSG00000067889	SPTBN2	0.001127315	3.054464	HPG	1.565958
ENSG00000168447	ENSMUSG00000030873	SCNN1B	0.00114743	3.049155	HPG	1.564784
ENSG00000166603	ENSMUSG00000047259	MC4R	0.001152858	3.047737	HPG	2.095126
ENSG00000103494	ENSMUSG00000033282	RPGRIP1L	0.001155473	3.047056	HPG	1.771668
ENSG00000173614	ENSMUSG00000028992	NMNAT1	0.001182541	3.040089	HPG	1.718196
ENSG00000091138	ENSMUSG00000001225	SLC26A3	0.001184663	3.039549	HPG	1.482189
ENSG00000172399	ENSMUSG00000028116	MYOZ2	0.001188137	3.038667	HPG	1.689449
ENSG00000151623	ENSMUSG00000031618	NR3C2	0.001191758	3.03775	HPG	1.562263
ENSG00000055118	ENSMUSG00000038319	KCNH2	0.001198836	3.035965	HPG	1.717082
ENSG00000157404	ENSMUSG00000005672	KIT	0.001207516	3.033789	HPG	1.796523
ENSG00000102218	ENSMUSG00000060090	RP2	0.001213755	3.032234	HPG	1.456451
ENSG00000178919	ENSMUSG00000070990	FOXE1	0.001220326	3.030604	HPG	1.687024
ENSG00000073282	ENSMUSG00000022510	TP63	0.001237612	3.026354	HPG	1.767061
ENSG00000037280	ENSMUSG00000020357	FLT4	0.001250287	3.023272	HPG	1.621761
ENSG00000090776	ENSMUSG00000031217	EFNB1	0.001283414	3.01535	HPG	1.499417
ENSG00000169676	ENSMUSG00000039358	DRD5	0.001285502	3.014857	HPG	1.682288
ENSG00000166340	ENSMUSG00000030894	TPP1	0.001298424	3.011822	HPG	1.556531
ENSG00000077498	ENSMUSG00000004651	TYR	0.001308042	3.009581	HPG	1.790928
ENSG00000196767	ENSMUSG00000056854	POU3F4	0.001312449	3.008559	HPG	2.082169
ENSG00000186847	ENSMUSG00000045545	KRT14	0.001314269	3.008138	HPG	1.417211
ENSG00000122870	ENSMUSG00000014329	BICC1	0.001332513	3.003946	HPG	1.947421
ENSG00000087116	ENSMUSG00000036545	ADAMTS2	0.001333104	3.003811	HPG	1.358973
ENSG00000182492	ENSMUSG00000031375	BGN	0.001334402	3.003515	HPG	1.496995
ENSG00000081479	ENSMUSG00000027070	LRP2	0.001338636	3.002551	HPG	1.761765
ENSG00000155850	ENSMUSG00000034320	SLC26A2	0.001395248	2.989921	HPG	1.356182
ENSG00000121075	ENSMUSG00000000094	TBX4	0.001399451	2.989002	HPG	1.844984
ENSG00000175206	ENSMUSG00000041616	NPPA	0.001413323	2.985987	HPG	1.822816
ENSG00000115138	ENSMUSG00000020660	POMC	0.001428235	2.982776	HPG	1.843426
ENSG00000174469	ENSMUSG00000039419	CNTNAP2	0.001443153	2.979594	HPG	1.70186
ENSG00000105877	ENSMUSG00000018581	DNAH11	0.001459265	2.976191	HPG	2.071463
ENSG00000119121	ENSMUSG00000024727	TRPM6	0.001459946	2.976048	HPG	1.670615
ENSG00000102174	ENSMUSG00000057457	PHEX	0.001474215	2.973064	HPG	1.782489
ENSG00000115155	ENSMUSG00000062372	OTOF	0.001486195	2.970579	HPG	1.550194
ENSG00000164756	ENSMUSG00000022315	SLC30A8	0.001518534	2.963961	HPG	1.66698
ENSG00000154122	ENSMUSG00000022265	ANKH	0.001521794	2.963301	HPG	1.780232
ENSG00000124713	ENSMUSG00000002769	GNMT	0.001533065	2.961029	HPG	1.815027
ENSG00000183230	ENSMUSG00000060843	CTNNA3	0.001536873	2.960265	HPG	1.547132
ENSG00000036257	ENSMUSG00000004364	CUL3	0.001637833	2.94061	HPG	1.691333
ENSG00000167723	ENSMUSG00000043029	TRPV3	0.001643812	2.939481	HPG	1.458786
ENSG00000174080	ENSMUSG00000083282	CTSF	0.001655488	2.937287	HPG	1.458273
ENSG00000141736	ENSMUSG00000062312	ERBB2	0.001686799	2.931472	HPG	1.926941
ENSG00000125398	ENSMUSG00000000567	SOX9	0.001691208	2.930661	HPG	1.745769
ENSG00000159082	ENSMUSG00000022973	SYNJ1	0.001698544	2.929316	HPG	1.456408
ENSG00000199158	ENSMUSG00000065586	MIR96	0.001700146	2.929023	HPG	1.656471
ENSG00000095002	ENSMUSG00000024151	MSH2	0.001711404	2.926971	HPG	1.771836
ENSG00000156574	ENSMUSG00000037171	NODAL	0.001718538	2.925677	HPG	1.925303
ENSG00000170624	ENSMUSG00000020354	SGCD	0.001732548	2.92315	HPG	1.686619
ENSG00000123473	ENSMUSG00000028718	STIL	0.001742747	2.921322	HPG	1.535572
ENSG00000237412	ENSMUSG00000036480	PRSS56	0.001752427	2.919596	HPG	1.802096
ENSG00000165409	ENSMUSG00000020963	TSHR	0.001754728	2.919187	HPG	1.770037
ENSG00000112837	ENSMUSG00000032419	TBX18	0.001773884	2.915801	HPG	1.82667
ENSG00000149596	ENSMUSG00000017817	JPH2	0.001781642	2.914439	HPG	1.379503
ENSG00000137285	ENSMUSG00000045136	TUBB2B	0.00179032	2.912922	HPG	1.534666
ENSG00000178538	ENSMUSG00000041261	CA8	0.001797799	2.91162	HPG	1.538435
ENSG00000112619	ENSMUSG00000023978	PRPH2	0.001813352	2.908928	HPG	1.767666
ENSG00000160789	ENSMUSG00000028063	LMNA	0.001828869	2.906263	HPG	1.740341
ENSG00000104899	ENSMUSG00000035262	AMH	0.001843235	2.903814	HPG	1.530375
ENSG00000150630	ENSMUSG00000031520	VEGFC	0.001860398	2.900911	HPG	1.529513
ENSG00000101850	ENSMUSG00000025333	GPR143	0.001864106	2.900287	HPG	1.42201
ENSG00000103266	ENSMUSG00000039615	STUB1	0.00188872	2.896173	HPG	1.591231
ENSG00000081923	ENSMUSG00000039529	ATP8B1	0.001897551	2.894709	HPG	1.530639
ENSG00000123500	ENSMUSG00000039462	COL10A1	0.001922597	2.89059	HPG	1.763428
ENSG00000162399	ENSMUSG00000025418	BSND	0.00193395	2.888739	HPG	1.529319
ENSG00000124788	ENSMUSG00000046876	ATXN1	0.001960901	2.884384	HPG	1.472618
ENSG00000087494	ENSMUSG00000048776	PTHLH	0.001968343	2.883191	HPG	1.913297
ENSG00000102001	ENSMUSG00000031142	CACNA1F	0.001991001	2.879584	HPG	1.760884
ENSG00000173991	ENSMUSG00000007877	TCAP	0.00200958	2.876654	HPG	1.388715
ENSG00000198286	ENSMUSG00000036526	CARD11	0.002021206	2.874833	HPG	1.910935
ENSG00000118965	ENSMUSG00000066643	WDR35	0.002033357	2.87294	HPG	1.332677
ENSG00000112041	ENSMUSG00000037446	TULP1	0.002039163	2.872039	HPG	1.585434
ENSG00000116218	ENSMUSG00000026602	NPHS2	0.002062481	2.868444	HPG	1.814822
ENSG00000057294	ENSMUSG00000041957	PKP2	0.002108826	2.861407	HPG	1.525289
ENSG00000100997	ENSMUSG00000032046	ABHD12	0.002115975	2.860334	HPG	1.385178
ENSG00000175426	ENSMUSG00000021587	PCSK1	0.002137009	2.857196	HPG	1.905951
ENSG00000076248	ENSMUSG00000029591	UNG	0.002148361	2.855514	HPG	1.668355
ENSG00000124479	ENSMUSG00000040138	NDP	0.002148822	2.855446	HPG	1.521959
ENSG00000036828	ENSMUSG00000051980	CASR	0.002167913	2.852636	HPG	1.728409
ENSG00000149922	ENSMUSG00000030699	TBX6	0.002174949	2.851606	HPG	1.904371
ENSG00000145476	ENSMUSG00000079057	CYP4V2	0.002175756	2.851488	HPG	1.26299
ENSG00000203867	ENSMUSG00000043639	RBM20	0.002181951	2.850584	HPG	1.514573
ENSG00000189221	ENSMUSG00000025037	MAOA	0.002232479	2.843296	HPG	1.665055
ENSG00000123700	ENSMUSG00000041695	KCNJ2	0.002237914	2.842521	HPG	1.234731
ENSG00000165410	ENSMUSG00000062929	CFL2	0.002238687	2.842411	HPG	1.436084
ENSG00000022355	ENSMUSG00000010803	GABRA1	0.002240858	2.842102	HPG	1.901685
ENSG00000096696	ENSMUSG00000054889	DSP	0.002257948	2.839679	HPG	1.46347
ENSG00000005893	ENSMUSG00000016534	LAMP2	0.00226015	2.839368	HPG	1.279577
ENSG00000105607	ENSMUSG00000003809	GCDH	0.002272862	2.837578	HPG	1.151449
ENSG00000114739	ENSMUSG00000061393	ACVR2B	0.002324608	2.830384	HPG	2.023239
ENSG00000179148	ENSMUSG00000020892	ALOXE3	0.002334152	2.829073	HPG	1.508187
ENSG00000180318	ENSMUSG00000036602	ALX1	0.002350652	2.826818	HPG	1.574571
ENSG00000135960	ENSMUSG00000003227	EDAR	0.00236674	2.824633	HPG	1.748184
ENSG00000108821	ENSMUSG00000001506	COL1A1	0.002384667	2.822214	HPG	1.72164
ENSG00000111424	ENSMUSG00000022479	VDR	0.0023899	2.821511	HPG	1.721484
ENSG00000116745	ENSMUSG00000028174	RPE65	0.002390116	2.821482	HPG	1.573289
ENSG00000139304	ENSMUSG00000035916	PTPRQ	0.00241525	2.818125	HPG	1.623117
ENSG00000049130	ENSMUSG00000019966	KITLG	0.00241863	2.817676	HPG	1.894783
ENSG00000038295	ENSMUSG00000053626	TLL1	0.002433532	2.815703	HPG	1.769671
ENSG00000168615	ENSMUSG00000031555	ADAM9	0.00245609	2.812737	HPG	1.621496
ENSG00000157766	ENSMUSG00000030607	ACAN	0.00250086	2.806923	HPG	1.718238
ENSG00000080493	ENSMUSG00000060961	SLC4A4	0.002504907	2.806402	HPG	1.891597
ENSG00000111276	ENSMUSG00000003031	CDKN1B	0.002515923	2.804988	HPG	2.014839
ENSG00000163898	ENSMUSG00000044626	LIPH	0.002516446	2.804921	HPG	1.501017
ENSG00000159723	ENSMUSG00000005705	AGRP	0.002554046	2.800137	HPG	1.764813
ENSG00000119681	ENSMUSG00000002020	LTBP2	0.002596648	2.794793	HPG	1.26971
ENSG00000099365	ENSMUSG00000030806	STX1B	0.002653217	2.787818	HPG	1.650074
ENSG00000160796	ENSMUSG00000056724	NBEAL2	0.002676411	2.784997	HPG	1.564525
ENSG00000105429	ENSMUSG00000045039	MEGF8	0.002680458	2.784507	HPG	1.71325
ENSG00000152784	ENSMUSG00000035456	PRDM8	0.002687161	2.783697	HPG	1.315474
ENSG00000165915	ENSMUSG00000002105	SLC39A13	0.002688992	2.783476	HPG	1.506048
ENSG00000099377	ENSMUSG00000042289	HSD3B7	0.002715075	2.780343	HPG	1.421568
ENSG00000137474	ENSMUSG00000030761	MYO7A	0.002745878	2.776678	HPG	1.791863
ENSG00000100987	ENSMUSG00000033080	VSX1	0.002764544	2.774475	HPG	1.179213
ENSG00000129221	ENSMUSG00000040554	AIPL1	0.002772041	2.773594	HPG	1.646234
ENSG00000114251	ENSMUSG00000021994	WNT5A	0.002773711	2.773398	HPG	1.710778
ENSG00000175538	ENSMUSG00000035165	KCNE3	0.002801653	2.770135	HPG	1.75545
ENSG00000156925	ENSMUSG00000067860	ZIC3	0.00280706	2.769507	HPG	1.709913
ENSG00000182578	ENSMUSG00000024621	CSF1R	0.002812502	2.768876	HPG	1.735298
ENSG00000158125	ENSMUSG00000024066	XDH	0.002827246	2.767172	HPG	1.880511
ENSG00000180210	ENSMUSG00000027249	F2	0.00284999	2.764559	HPG	1.501866
ENSG00000112782	ENSMUSG00000023959	CLIC5	0.002879876	2.761154	HPG	1.605982
ENSG00000075891	ENSMUSG00000004231	PAX2	0.002983084	2.749635	HPG	1.705491
ENSG00000164532	ENSMUSG00000031965	TBX20	0.003017883	2.745832	HPG	1.747865
ENSG00000100345	ENSMUSG00000022443	MYH9	0.003035211	2.743953	HPG	1.729538
ENSG00000135100	ENSMUSG00000029556	HNF1A	0.003045796	2.74281	HPG	1.729274
ENSG00000143627	ENSMUSG00000041237	PKLR	0.003066365	2.740599	HPG	1.553861
ENSG00000106688	ENSMUSG00000024935	SLC1A1	0.003076346	2.739531	HPG	1.481606
ENSG00000115718	ENSMUSG00000024386	PROC	0.003134903	2.733327	HPG	1.410572
ENSG00000135338	ENSMUSG00000032258	LCA5	0.003149516	2.731795	HPG	1.479309
ENSG00000134183	ENSMUSG00000009108	GNAT2	0.003171263	2.729527	HPG	1.326266
ENSG00000169762	ENSMUSG00000046985	TAPT1	0.003183296	2.728278	HPG	1.210759
ENSG00000164690	ENSMUSG00000002633	SHH	0.003234182	2.723043	HPG	1.699574
ENSG00000171365	ENSMUSG00000004317	CLCN5	0.003239855	2.722464	HPG	1.439485
ENSG00000115339	ENSMUSG00000026994	GALNT3	0.0032411	2.722337	HPG	1.778268
ENSG00000175084	ENSMUSG00000026208	DES	0.003268916	2.719512	HPG	1.723889
ENSG00000204897	ENSMUSG00000035831	KRT25	0.003286821	2.717705	HPG	1.592914
ENSG00000150995	ENSMUSG00000030102	ITPR1	0.003342659	2.712126	HPG	1.697145
ENSG00000112144	ENSMUSG00000009828	ICK	0.00335645	2.710761	HPG	1.489972
ENSG00000120659	ENSMUSG00000022015	TNFSF11	0.003363603	2.710055	HPG	1.721704
ENSG00000181449	ENSMUSG00000074637	SOX2	0.003366575	2.709762	HPG	1.696619
ENSG00000122367	ENSMUSG00000021798	LDB3	0.003403835	2.706109	HPG	1.720792
ENSG00000179941	ENSMUSG00000035759	BBS10	0.00344014	2.702584	HPG	1.627059
ENSG00000107249	ENSMUSG00000052942	GLIS3	0.003445494	2.702067	HPG	1.626919
ENSG00000167972	ENSMUSG00000024130	ABCA3	0.00351694	2.695236	HPG	1.625074
ENSG00000112425	ENSMUSG00000055493	EPM2A	0.003542281	2.692843	HPG	1.717726
ENSG00000108599	ENSMUSG00000047804	AKAP10	0.003571359	2.690116	HPG	1.584616
ENSG00000154767	ENSMUSG00000030094	XPC	0.003589971	2.688381	HPG	1.40006
ENSG00000005961	ENSMUSG00000034664	ITGA2B	0.003618436	2.685743	HPG	1.540684
ENSG00000127415	ENSMUSG00000033540	IDUA	0.003647464	2.683072	HPG	1.69068
ENSG00000198003	ENSMUSG00000039632	CCDC151	0.003678239	2.680261	HPG	1.364579
ENSG00000162669	ENSMUSG00000043410	HFM1	0.003682142	2.679906	HPG	1.72729
ENSG00000206013	ENSMUSG00000025489	IFITM5	0.003690257	2.679169	HPG	1.397906
ENSG00000184254	ENSMUSG00000015134	ALDH1A3	0.003728724	2.675695	HPG	1.580278
ENSG00000159128	ENSMUSG00000022965	IFNGR2	0.003767517	2.672224	HPG	1.461625
ENSG00000111012	ENSMUSG00000006724	CYP27B1	0.003779447	2.671163	HPG	1.688031
ENSG00000136068	ENSMUSG00000025278	FLNB	0.003867391	2.663433	HPG	1.686311
ENSG00000117385	ENSMUSG00000028641	P3H1	0.003882221	2.662145	HPG	1.479224
ENSG00000123607	ENSMUSG00000034848	TTC21B	0.00390258	2.660384	HPG	1.47266
ENSG00000070915	ENSMUSG00000031766	SLC12A3	0.004021469	2.650262	HPG	1.237719
ENSG00000072778	ENSMUSG00000018574	ACADVL	0.004033914	2.649218	HPG	1.476366
ENSG00000104237	ENSMUSG00000025900	RP1	0.004107138	2.643133	HPG	1.715813
ENSG00000104783	ENSMUSG00000054342	KCNN4	0.004124761	2.641683	HPG	1.610614
ENSG00000110711	ENSMUSG00000024847	AIP	0.004125346	2.641635	HPG	1.422946
ENSG00000100106	ENSMUSG00000033088	TRIOBP	0.00412955	2.64129	HPG	1.56993
ENSG00000165091	ENSMUSG00000024749	TMC1	0.004145705	2.639967	HPG	1.714825
ENSG00000117601	ENSMUSG00000026715	SERPINC1	0.00415294	2.639376	HPG	1.844397
ENSG00000106327	ENSMUSG00000029716	TFR2	0.004177311	2.637392	HPG	1.568758
ENSG00000197386	ENSMUSG00000029104	HTT	0.004189495	2.636404	HPG	1.756769
ENSG00000183770	ENSMUSG00000050397	FOXL2	0.004250894	2.631464	HPG	1.335575
ENSG00000168878	ENSMUSG00000056370	SFTPB	0.004255575	2.63109	HPG	1.527555
ENSG00000160602	ENSMUSG00000017405	NEK8	0.004319386	2.626028	HPG	1.526339
ENSG00000110324	ENSMUSG00000032089	IL10RA	0.004393357	2.620243	HPG	1.708669
ENSG00000167716	ENSMUSG00000045374	WDR81	0.004425503	2.617756	HPG	1.332604
ENSG00000081052	ENSMUSG00000067158	COL4A4	0.004469556	2.614374	HPG	1.751257
ENSG00000107796	ENSMUSG00000035783	ACTA2	0.004488077	2.612961	HPG	1.275161
ENSG00000171403	ENSMUSG00000051617	KRT9	0.004520208	2.610522	HPG	1.560676
ENSG00000179111	ENSMUSG00000023781	HES7	0.004655785	2.600398	HPG	1.747761
ENSG00000125378	ENSMUSG00000021835	BMP4	0.004672011	2.599204	HPG	1.67202
ENSG00000152208	ENSMUSG00000071424	GRID2	0.004685968	2.59818	HPG	1.695848
ENSG00000140092	ENSMUSG00000021186	FBLN5	0.004693698	2.597614	HPG	1.413938
ENSG00000170477	ENSMUSG00000059668	KRT4	0.004695625	2.597473	HPG	1.556752
ENSG00000173801	ENSMUSG00000001552	JUP	0.004730743	2.594913	HPG	1.695093
ENSG00000130508	ENSMUSG00000020674	PXDN	0.004737547	2.594419	HPG	1.831692
ENSG00000105974	ENSMUSG00000007655	CAV1	0.004780483	2.591316	HPG	1.670265
ENSG00000176058	ENSMUSG00000048707	TPRN	0.004783081	2.591129	HPG	1.437551
ENSG00000053918	ENSMUSG00000009545	KCNQ1	0.004898672	2.582901	HPG	1.743383
ENSG00000142168	ENSMUSG00000022982	SOD1	0.004916904	2.581619	HPG	1.743063
ENSG00000101981	ENSMUSG00000031138	F9	0.004918186	2.581529	HPG	1.37507
ENSG00000150787	ENSMUSG00000032067	PTS	0.004925358	2.581026	HPG	1.46129
ENSG00000119614	ENSMUSG00000021239	VSX2	0.004954913	2.57896	HPG	1.940082
ENSG00000099246	ENSMUSG00000073639	RAB18	0.004969879	2.577918	HPG	1.409908
ENSG00000120149	ENSMUSG00000021469	MSX2	0.005049296	2.572435	HPG	1.740765
ENSG00000165288	ENSMUSG00000063663	BRWD3	0.00512953	2.566973	HPG	1.130589
ENSG00000060642	ENSMUSG00000043257	PIGV	0.005147294	2.565774	HPG	1.270958
ENSG00000004864	ENSMUSG00000015112	SLC25A13	0.005180105	2.563569	HPG	1.218529
ENSG00000164175	ENSMUSG00000022243	SLC45A2	0.005181419	2.563481	HPG	1.44729
ENSG00000167654	ENSMUSG00000034958	ATCAY	0.005206773	2.561786	HPG	1.589039
ENSG00000104331	ENSMUSG00000066324	IMPAD1	0.005207313	2.56175	HPG	1.5109
ENSG00000152661	ENSMUSG00000050953	GJA1	0.005214288	2.561285	HPG	1.663583
ENSG00000187498	ENSMUSG00000031502	COL4A1	0.005227587	2.5604	HPG	1.663386
ENSG00000186868	ENSMUSG00000018411	MAPT	0.005227693	2.560393	HPG	1.663384
ENSG00000141519	ENSMUSG00000039963	CCDC40	0.005231636	2.560131	HPG	1.333222
ENSG00000109163	ENSMUSG00000029255	GNRHR	0.005343211	2.552789	HPG	1.73585
ENSG00000158578	ENSMUSG00000025270	ALAS2	0.0053608	2.551644	HPG	1.260683
ENSG00000125730	ENSMUSG00000024164	C3	0.005361462	2.551601	HPG	1.735553
ENSG00000151617	ENSMUSG00000031616	EDNRA	0.005438918	2.546599	HPG	1.683927
ENSG00000169313	ENSMUSG00000036353	P2RY12	0.00545735	2.545418	HPG	1.27326
ENSG00000175325	ENSMUSG00000044542	PROP1	0.00547877	2.54405	HPG	1.817458
ENSG00000154764	ENSMUSG00000030093	WNT7A	0.005481767	2.543859	HPG	1.659705
ENSG00000186395	ENSMUSG00000019761	KRT10	0.005490577	2.543298	HPG	1.817246
ENSG00000111775	ENSMUSG00000041697	COX6A1	0.005572329	2.53813	HPG	1.327479
ENSG00000102466	ENSMUSG00000025551	FGF14	0.005663006	2.532476	HPG	1.450556
ENSG00000171759	ENSMUSG00000020051	PAH	0.005669374	2.532082	HPG	1.450469
ENSG00000074803	ENSMUSG00000027202	SLC12A1	0.005675602	2.531697	HPG	1.656999
ENSG00000169057	ENSMUSG00000031393	MECP2	0.00584717	2.521236	HPG	1.654672
ENSG00000134574	ENSMUSG00000002109	DDB2	0.005848532	2.521154	HPG	1.253484
ENSG00000049768	ENSMUSG00000039521	FOXP3	0.005892526	2.518516	HPG	1.677437
ENSG00000072121	ENSMUSG00000066440	ZFYVE26	0.005900312	2.518051	HPG	1.447367
ENSG00000043355	ENSMUSG00000061524	ZIC2	0.005903914	2.517836	HPG	1.727105
ENSG00000179981	ENSMUSG00000046982	TSHZ1	0.005922075	2.516754	HPG	1.676371
ENSG00000174437	ENSMUSG00000029467	ATP2A2	0.005954355	2.514838	HPG	1.726355
ENSG00000131482	ENSMUSG00000078650	G6PC	0.005954743	2.514815	HPG	1.446652
ENSG00000167371	ENSMUSG00000045114	PRRT2	0.005960826	2.514455	HPG	1.499539
ENSG00000173372	ENSMUSG00000036887	C1QA	0.005991323	2.512655	HPG	1.675092
ENSG00000130529	ENSMUSG00000038260	TRPM4	0.006020969	2.510913	HPG	1.263326
ENSG00000198707	ENSMUSG00000019971	CEP290	0.006036165	2.510023	HPG	1.652177
ENSG00000107859	ENSMUSG00000025229	PITX3	0.006060721	2.508589	HPG	1.916808
ENSG00000197535	ENSMUSG00000034593	MYO5A	0.00608275	2.507307	HPG	1.807075
ENSG00000196712	ENSMUSG00000020716	NF1	0.006103537	2.506101	HPG	1.651304
ENSG00000145075	ENSMUSG00000027676	CCDC39	0.006119904	2.505154	HPG	1.723932
ENSG00000165970	ENSMUSG00000039728	SLC6A5	0.006132357	2.504435	HPG	1.573552
ENSG00000198910	ENSMUSG00000031391	L1CAM	0.006227022	2.499011	HPG	1.672929
ENSG00000143390	ENSMUSG00000005774	RFX5	0.006262854	2.496977	HPG	1.306427
ENSG00000198947	ENSMUSG00000045103	DMD	0.006344724	2.492368	HPG	1.671394
ENSG00000151835	ENSMUSG00000048279	SACS	0.006430089	2.487618	HPG	1.440639
ENSG00000115159	ENSMUSG00000026827	GPD2	0.006447392	2.486662	HPG	1.66698
ENSG00000145996	ENSMUSG00000006191	CDKAL1	0.006447392	2.486662	HPG	1.66698
ENSG00000007314	ENSMUSG00000001027	SCN4A	0.006462866	2.485809	HPG	1.646789
ENSG00000162676	ENSMUSG00000029275	GFI1	0.006483852	2.484655	HPG	1.908891
ENSG00000070019	ENSMUSG00000042638	GUCY2C	0.006575109	2.479675	HPG	1.566866
ENSG00000148356	ENSMUSG00000026792	LRSAM1	0.00662751	2.476843	HPG	1.243021
ENSG00000133104	ENSMUSG00000036580	SPG20	0.006657576	2.475227	HPG	1.388895
ENSG00000104381	ENSMUSG00000025777	GDAP1	0.006675045	2.474291	HPG	1.388703
ENSG00000184058	ENSMUSG00000009097	TBX1	0.006701269	2.47289	HPG	1.643915
ENSG00000180644	ENSMUSG00000037202	PRF1	0.006703032	2.472796	HPG	1.643894
ENSG00000169047	ENSMUSG00000055980	IRS1	0.006714538	2.472183	HPG	1.904766
ENSG00000185950	ENSMUSG00000038894	IRS2	0.006714538	2.472183	HPG	1.904766
ENSG00000122512	ENSMUSG00000079109	PMS2	0.006965979	2.459013	HPG	1.434315
ENSG00000160183	ENSMUSG00000024034	TMPRSS3	0.007007163	2.456896	HPG	1.65769
ENSG00000109927	ENSMUSG00000037705	TECTA	0.007029566	2.455749	HPG	1.657332
ENSG00000162688	ENSMUSG00000033400	AGL	0.007061512	2.454119	HPG	1.433233
ENSG00000172987	ENSMUSG00000074852	HPSE2	0.00710195	2.452065	HPG	1.559411
ENSG00000074047	ENSMUSG00000048402	GLI2	0.007155835	2.449344	HPG	1.638676
ENSG00000156466	ENSMUSG00000051279	GDF6	0.007201323	2.447061	HPG	1.383131
ENSG00000162738	ENSMUSG00000026556	VANGL2	0.007356794	2.439353	HPG	1.787872
ENSG00000205336	ENSMUSG00000031785	ADGRG1	0.00741974	2.436273	HPG	1.190352
ENSG00000105610	ENSMUSG00000054191	KLF1	0.007420376	2.436242	HPG	1.480751
ENSG00000138207	ENSMUSG00000024990	RBP4	0.00743216	2.435668	HPG	1.480613
ENSG00000077782	ENSMUSG00000031565	FGFR1	0.00744571	2.435009	HPG	1.635486
ENSG00000168509	ENSMUSG00000038403	HFE2	0.007449456	2.434827	HPG	1.554756
ENSG00000137710	ENSMUSG00000032050	RDX	0.007475723	2.433553	HPG	1.650405
ENSG00000148516	ENSMUSG00000024238	ZEB1	0.007484649	2.433121	HPG	1.891847
ENSG00000166147	ENSMUSG00000027204	FBN1	0.007515132	2.431649	HPG	1.634739
ENSG00000186081	ENSMUSG00000061527	KRT5	0.007530872	2.430891	HPG	1.292104
ENSG00000100170	ENSMUSG00000011034	SLC5A1	0.007603194	2.427426	HPG	1.552758
ENSG00000132170	ENSMUSG00000000440	PPARG	0.007640815	2.425635	HPG	1.6334
ENSG00000141404	ENSMUSG00000024524	GNAL	0.007691232	2.423247	HPG	1.387714
ENSG00000150893	ENSMUSG00000037016	FREM2	0.007774029	2.419355	HPG	1.632003
ENSG00000066279	ENSMUSG00000033952	ASPM	0.007793415	2.418449	HPG	1.476477
ENSG00000116132	ENSMUSG00000026586	PRRX1	0.007838664	2.416342	HPG	1.653823
ENSG00000162552	ENSMUSG00000036856	WNT4	0.007847776	2.415919	HPG	1.701607
ENSG00000104044	ENSMUSG00000030450	OCA2	0.007936906	2.411804	HPG	1.700578
ENSG00000175544	ENSMUSG00000024842	CABP4	0.007973134	2.410143	HPG	1.407144
ENSG00000105329	ENSMUSG00000002603	TGFB1	0.008064508	2.405983	HPG	1.629028
ENSG00000092607	ENSMUSG00000027868	TBX15	0.008076789	2.405427	HPG	1.628904
ENSG00000165704	ENSMUSG00000025630	HPRT1	0.008152453	2.402018	HPG	1.650512
ENSG00000175097	ENSMUSG00000032864	RAG2	0.00819711	2.400019	HPG	1.627701
ENSG00000133937	ENSMUSG00000021095	GSC	0.008246326	2.397827	HPG	1.649544
ENSG00000147044	ENSMUSG00000031012	CASK	0.008301212	2.395396	HPG	1.372559
ENSG00000244486	ENSMUSG00000012017	SCARF2	0.008350521	2.393224	HPG	1.14045
ENSG00000164867	ENSMUSG00000028978	NOS3	0.008488557	2.387203	HPG	1.647088
ENSG00000163347	ENSMUSG00000022512	CLDN1	0.008565408	2.383888	HPG	1.221073
ENSG00000090932	ENSMUSG00000003436	DLL3	0.008746203	2.376191	HPG	1.770022
ENSG00000175445	ENSMUSG00000015568	LPL	0.008837932	2.372339	HPG	1.465401
ENSG00000166813	ENSMUSG00000050382	KIF7	0.008882334	2.370487	HPG	1.62113
ENSG00000100473	ENSMUSG00000020953	COCH	0.008943742	2.367939	HPG	1.139581
ENSG00000185245	ENSMUSG00000050675	GP1BA	0.008987032	2.366152	HPG	1.046949
ENSG00000162337	ENSMUSG00000024913	LRP5	0.009072668	2.362639	HPG	1.619384
ENSG00000068078	ENSMUSG00000054252	FGFR3	0.009094967	2.361729	HPG	1.619181
ENSG00000110756	ENSMUSG00000014418	HPS5	0.009221004	2.356622	HPG	1.626395
ENSG00000183072	ENSMUSG00000015579	NKX2-5	0.009229748	2.35627	HPG	1.617967
ENSG00000070669	ENSMUSG00000029752	ASNS	0.009340706	2.351828	HPG	1.17166
ENSG00000167552	ENSMUSG00000072235	TUBA1A	0.009371963	2.350585	HPG	1.460176
ENSG00000004939	ENSMUSG00000006574	SLC4A1	0.009433309	2.348156	HPG	1.638064
ENSG00000102678	ENSMUSG00000021974	FGF9	0.00946217	2.347018	HPG	1.863369
ENSG00000152104	ENSMUSG00000026604	PTPN14	0.009478995	2.346356	HPG	1.364888
ENSG00000164258	ENSMUSG00000021764	NDUFS4	0.009694636	2.337961	HPG	1.613893
ENSG00000119042	ENSMUSG00000038331	SATB2	0.009696815	2.337877	HPG	1.613874
ENSG00000066230	ENSMUSG00000036123	SLC9A3	0.010031757	2.325158	HPG	1.616575
